workload,gomaxprocs,goroutines,jobs_per_worker,total_jobs,total_time_ms,throughput_jobs_per_sec,avg_latency_us,min_latency_us,max_latency_us,stddev_latency_us
cpu,1,1,50,50,5.185,9641.617,95.180,91.000,120.000,5.684
cpu,1,2,50,100,9.365,10677.540,93.230,91.000,113.000,4.226
cpu,1,4,50,200,17.712,11291.536,88.005,85.000,196.000,8.722
cpu,1,8,50,400,35.000,11428.299,86.875,85.000,145.000,4.559
cpu,1,16,50,800,70.765,11304.991,87.870,85.000,332.000,14.071
cpu,1,32,50,1600,141.549,11303.495,87.971,85.000,271.000,8.652
cpu,1,64,50,3200,290.454,11017.211,90.344,85.000,497.000,13.097
cpu,2,1,50,50,4.800,10416.244,95.280,85.000,215.000,21.707
cpu,2,2,50,100,4.492,22258.241,88.090,85.000,146.000,8.251
cpu,2,4,50,200,9.250,21619.684,91.055,85.000,219.000,12.692
cpu,2,8,50,400,18.935,21124.003,92.205,85.000,544.000,25.936
cpu,2,16,50,800,39.346,20332.419,96.569,89.000,551.000,21.587
cpu,2,32,50,1600,77.003,20778.165,95.292,87.000,275.000,14.361
cpu,2,64,50,3200,152.229,21020.903,94.588,91.000,418.000,12.089
cpu,20,1,50,50,4.648,10756.109,92.440,89.000,142.000,7.510
cpu,20,2,50,100,5.098,19613.854,96.720,89.000,305.000,25.937
cpu,20,4,50,200,5.046,39628.758,94.665,90.000,209.000,12.029
cpu,20,8,50,400,6.591,60684.592,105.835,92.000,295.000,18.110
cpu,20,16,50,800,12.206,65537.080,130.845,93.000,1506.000,72.579
cpu,20,32,50,1600,17.921,89277.115,149.236,114.000,1315.000,59.182
cpu,20,64,50,3200,28.629,111773.583,153.958,121.000,4233.000,86.142
mixed,1,1,50,50,1.374,36374.932,27.000,27.000,27.000,0.000
mixed,1,2,50,100,2.694,37108.560,26.260,25.000,43.000,2.464
mixed,1,4,50,200,5.114,39106.372,25.020,24.000,38.000,1.323
mixed,1,8,50,400,9.335,42846.912,22.895,22.000,86.000,3.396
mixed,1,16,50,800,17.164,46607.007,20.953,20.000,31.000,1.088
mixed,1,32,50,1600,34.279,46675.471,20.867,20.000,64.000,1.413
mixed,1,64,50,3200,65.553,48815.211,20.097,19.000,257.000,6.066
mixed,2,1,50,50,1.072,46599.408,20.720,20.000,31.000,1.550
mixed,2,2,50,100,1.121,89159.379,20.530,20.000,22.000,0.519
mixed,2,4,50,200,2.214,90334.237,21.195,20.000,55.000,3.163
mixed,2,8,50,400,5.104,78364.425,40.898,20.000,2249.000,185.938
mixed,2,16,50,800,8.591,93112.893,95.675,19.000,7609.000,623.669
mixed,2,32,50,1600,17.695,90419.178,164.051,19.000,15163.000,1166.009
mixed,2,64,50,3200,35.893,89151.507,318.228,19.000,33210.000,2491.232
mixed,20,1,50,50,1.119,44674.568,21.460,20.000,34.000,2.700
mixed,20,2,50,100,1.195,83659.746,21.090,20.000,34.000,1.644
mixed,20,4,50,200,1.314,152107.102,21.790,20.000,49.000,2.885
mixed,20,8,50,400,2.523,158523.763,37.050,20.000,1242.000,109.878
mixed,20,16,50,800,5.354,149409.189,73.963,20.000,3691.000,313.810
mixed,20,32,50,1600,10.404,153775.934,129.775,22.000,4034.000,504.942
mixed,20,64,50,3200,21.118,151527.908,266.102,22.000,17471.000,1444.199
